repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
2,3,knn,raw_pca17,nested_tuned,0.6434782608695652,0.633535654626042,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,raw_pca17,fixed,0.6260869565217392,0.6166155068594094,
2,3,mlp,raw_pca17,nested_tuned,0.6260869565217392,0.6166155068594094,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
2,3,svm,joint_angle,fixed,0.7217391304347827,0.7244327553295387,
2,3,svm,joint_angle,nested_tuned,0.7739130434782608,0.7699839374257978,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
2,3,knn,joint_angle,fixed,0.7565217391304347,0.7501212298602007,
2,3,knn,joint_angle,nested_tuned,0.8173913043478261,0.8144695952141395,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,joint_angle,fixed,0.808695652173913,0.8064102564102565,
2,3,mlp,joint_angle,nested_tuned,0.7478260869565218,0.7348044325088802,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
2,3,svm,corrected,fixed,0.8521739130434782,0.8516543884964939,
2,3,svm,corrected,nested_tuned,0.8434782608695652,0.8424869674869675,"{""model__C"": 5.0, ""model__gamma"": 0.01}"
2,3,knn,corrected,fixed,0.782608695652174,0.781475419773292,
2,3,knn,corrected,nested_tuned,0.8260869565217391,0.8199822758677477,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,corrected,fixed,0.782608695652174,0.7785582529484968,
2,3,mlp,corrected,nested_tuned,0.782608695652174,0.777952873684581,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
2,3,svm,optimized_action,fixed,0.808695652173913,0.8091257421604565,
2,3,svm,optimized_action,nested_tuned,0.8173913043478261,0.8180493064213995,"{""model__C"": 1.0, ""model__gamma"": ""scale""}"
2,3,knn,optimized_action,fixed,0.7652173913043478,0.7624426117847172,
2,3,knn,optimized_action,nested_tuned,0.7565217391304347,0.7463595302619693,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,optimized_action,fixed,0.782608695652174,0.7794734177712902,
2,3,mlp,optimized_action,nested_tuned,0.6956521739130435,0.684513837562618,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
2,3,svm,optimized_full,fixed,0.4608695652173913,0.46897570476001854,
2,3,svm,optimized_full,nested_tuned,0.4608695652173913,0.46897570476001854,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
2,3,knn,optimized_full,fixed,0.41739130434782606,0.365467058245516,
2,3,knn,optimized_full,nested_tuned,0.4,0.36813255128619016,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
2,3,mlp,optimized_full,fixed,0.48695652173913045,0.4512759458441371,
2,3,mlp,optimized_full,nested_tuned,0.45217391304347826,0.421822631347803,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32]}"
3,3,svm,raw,fixed,0.40869565217391307,0.3716271793256685,
3,3,svm,raw,nested_tuned,0.40869565217391307,0.3716271793256685,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
3,3,knn,raw,fixed,0.3739130434782609,0.3509329459789035,
3,3,knn,raw,nested_tuned,0.3652173913043478,0.34970343467254933,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
3,3,mlp,raw,fixed,0.3826086956521739,0.3494366744366744,
3,3,mlp,raw,nested_tuned,0.3565217391304348,0.3386671905647238,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
3,3,svm,raw_pca11,fixed,0.5565217391304348,0.5543839758125473,
3,3,svm,raw_pca11,nested_tuned,0.4434782608695652,0.3734038498189441,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
3,3,knn,raw_pca11,fixed,0.45217391304347826,0.4494142427756609,
3,3,knn,raw_pca11,nested_tuned,0.45217391304347826,0.4494142427756609,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
3,3,mlp,raw_pca11,fixed,0.5304347826086957,0.5211275154012679,
3,3,mlp,raw_pca11,nested_tuned,0.48695652173913045,0.48776795100324505,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
3,3,svm,raw_pca17,fixed,0.5391304347826087,0.5135786170036497,
3,3,svm,raw_pca17,nested_tuned,0.5565217391304348,0.5224766545521262,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
3,3,knn,raw_pca17,fixed,0.5130434782608696,0.49440702087286525,
3,3,knn,raw_pca17,nested_tuned,0.5043478260869565,0.48472909320503116,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
3,3,mlp,raw_pca17,fixed,0.5565217391304348,0.5361040318701609,
3,3,mlp,raw_pca17,nested_tuned,0.5565217391304348,0.5361040318701609,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
3,3,svm,joint_angle,fixed,0.6260869565217392,0.6335893035893035,
3,3,svm,joint_angle,nested_tuned,0.6434782608695652,0.638946821421747,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
3,3,knn,joint_angle,fixed,0.6608695652173913,0.6764100464100465,
3,3,knn,joint_angle,nested_tuned,0.6,0.5920530492898913,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
3,3,mlp,joint_angle,fixed,0.6434782608695652,0.6479684254878054,
3,3,mlp,joint_angle,nested_tuned,0.7304347826086957,0.7359787834052539,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32]}"
3,3,svm,corrected,fixed,0.6434782608695652,0.6171255842308474,
3,3,svm,corrected,nested_tuned,0.6434782608695652,0.6171255842308474,"{""model__C"": 5.0, ""model__gamma"": ""auto""}"
3,3,knn,corrected,fixed,0.6086956521739131,0.6113122171945701,
3,3,knn,corrected,nested_tuned,0.6,0.581396161943545,"{""model__n_neighbors"": 9, ""model__weights"": ""distance""}"
3,3,mlp,corrected,fixed,0.6173913043478261,0.6097236097236097,
3,3,mlp,corrected,nested_tuned,0.6173913043478261,0.5827409658798842,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
3,3,svm,optimized_action,fixed,0.6,0.581981062725607,
3,3,svm,optimized_action,nested_tuned,0.6173913043478261,0.5873625487707086,"{""model__C"": 1.0, ""model__gamma"": ""scale""}"
