shot,classifier,feature_set,condition,true_label,predicted_label,count
3,knn,raw,occluded,deer_horn,deer_horn,176
3,knn,raw,occluded,deer_horn,flower_pinch,43
3,knn,raw,occluded,deer_horn,orchid_finger,61
3,knn,raw,occluded,deer_horn,orchid_palm,55
3,knn,raw,occluded,deer_horn,prayer_beads,21
3,knn,raw,occluded,deer_horn,three_finger_bent,24
3,knn,raw,occluded,flower_pinch,deer_horn,49
3,knn,raw,occluded,flower_pinch,flower_pinch,107
3,knn,raw,occluded,flower_pinch,orchid_finger,23
3,knn,raw,occluded,flower_pinch,orchid_palm,105
3,knn,raw,occluded,flower_pinch,prayer_beads,52
3,knn,raw,occluded,flower_pinch,three_finger_bent,44
3,knn,raw,occluded,orchid_finger,deer_horn,78
3,knn,raw,occluded,orchid_finger,flower_pinch,35
3,knn,raw,occluded,orchid_finger,orchid_finger,128
3,knn,raw,occluded,orchid_finger,orchid_palm,55
3,knn,raw,occluded,orchid_finger,prayer_beads,40
3,knn,raw,occluded,orchid_finger,three_finger_bent,31
3,knn,raw,occluded,orchid_palm,deer_horn,78
3,knn,raw,occluded,orchid_palm,flower_pinch,85
3,knn,raw,occluded,orchid_palm,orchid_finger,54
3,knn,raw,occluded,orchid_palm,orchid_palm,154
3,knn,raw,occluded,orchid_palm,prayer_beads,44
3,knn,raw,occluded,orchid_palm,three_finger_bent,25
3,knn,raw,occluded,prayer_beads,deer_horn,33
3,knn,raw,occluded,prayer_beads,flower_pinch,60
3,knn,raw,occluded,prayer_beads,orchid_finger,28
3,knn,raw,occluded,prayer_beads,orchid_palm,62
3,knn,raw,occluded,prayer_beads,prayer_beads,137
3,knn,raw,occluded,prayer_beads,three_finger_bent,53
3,knn,raw,occluded,three_finger_bent,deer_horn,59
3,knn,raw,occluded,three_finger_bent,flower_pinch,77
3,knn,raw,occluded,three_finger_bent,orchid_finger,42
3,knn,raw,occluded,three_finger_bent,orchid_palm,45
3,knn,raw,occluded,three_finger_bent,prayer_beads,52
3,knn,raw,occluded,three_finger_bent,three_finger_bent,85
3,knn,raw_pca17,clean,deer_horn,deer_horn,283
3,knn,raw_pca17,clean,deer_horn,flower_pinch,28
3,knn,raw_pca17,clean,deer_horn,orchid_finger,24
3,knn,raw_pca17,clean,deer_horn,orchid_palm,26
3,knn,raw_pca17,clean,deer_horn,prayer_beads,5
3,knn,raw_pca17,clean,deer_horn,three_finger_bent,14
3,knn,raw_pca17,clean,flower_pinch,deer_horn,22
3,knn,raw_pca17,clean,flower_pinch,flower_pinch,213
3,knn,raw_pca17,clean,flower_pinch,orchid_finger,21
3,knn,raw_pca17,clean,flower_pinch,orchid_palm,81
3,knn,raw_pca17,clean,flower_pinch,prayer_beads,9
3,knn,raw_pca17,clean,flower_pinch,three_finger_bent,34
3,knn,raw_pca17,clean,orchid_finger,deer_horn,54
3,knn,raw_pca17,clean,orchid_finger,flower_pinch,56
3,knn,raw_pca17,clean,orchid_finger,orchid_finger,172
3,knn,raw_pca17,clean,orchid_finger,orchid_palm,48
3,knn,raw_pca17,clean,orchid_finger,prayer_beads,12
3,knn,raw_pca17,clean,orchid_finger,three_finger_bent,25
3,knn,raw_pca17,clean,orchid_palm,deer_horn,36
3,knn,raw_pca17,clean,orchid_palm,flower_pinch,85
3,knn,raw_pca17,clean,orchid_palm,orchid_finger,33
3,knn,raw_pca17,clean,orchid_palm,orchid_palm,229
3,knn,raw_pca17,clean,orchid_palm,prayer_beads,40
3,knn,raw_pca17,clean,orchid_palm,three_finger_bent,17
3,knn,raw_pca17,clean,prayer_beads,deer_horn,28
3,knn,raw_pca17,clean,prayer_beads,flower_pinch,35
3,knn,raw_pca17,clean,prayer_beads,orchid_finger,9
3,knn,raw_pca17,clean,prayer_beads,orchid_palm,45
3,knn,raw_pca17,clean,prayer_beads,prayer_beads,239
3,knn,raw_pca17,clean,prayer_beads,three_finger_bent,17
3,knn,raw_pca17,clean,three_finger_bent,deer_horn,27
3,knn,raw_pca17,clean,three_finger_bent,flower_pinch,74
3,knn,raw_pca17,clean,three_finger_bent,orchid_finger,19
3,knn,raw_pca17,clean,three_finger_bent,orchid_palm,19
3,knn,raw_pca17,clean,three_finger_bent,prayer_beads,16
3,knn,raw_pca17,clean,three_finger_bent,three_finger_bent,205
3,knn,raw_pca17,occluded,deer_horn,deer_horn,291
3,knn,raw_pca17,occluded,deer_horn,flower_pinch,24
3,knn,raw_pca17,occluded,deer_horn,orchid_finger,20
3,knn,raw_pca17,occluded,deer_horn,orchid_palm,23
3,knn,raw_pca17,occluded,deer_horn,prayer_beads,5
3,knn,raw_pca17,occluded,deer_horn,three_finger_bent,17
3,knn,raw_pca17,occluded,flower_pinch,deer_horn,27
3,knn,raw_pca17,occluded,flower_pinch,flower_pinch,199
3,knn,raw_pca17,occluded,flower_pinch,orchid_finger,26
3,knn,raw_pca17,occluded,flower_pinch,orchid_palm,82
3,knn,raw_pca17,occluded,flower_pinch,prayer_beads,5
3,knn,raw_pca17,occluded,flower_pinch,three_finger_bent,41
3,knn,raw_pca17,occluded,orchid_finger,deer_horn,62
3,knn,raw_pca17,occluded,orchid_finger,flower_pinch,46
3,knn,raw_pca17,occluded,orchid_finger,orchid_finger,180
3,knn,raw_pca17,occluded,orchid_finger,orchid_palm,37
3,knn,raw_pca17,occluded,orchid_finger,prayer_beads,17
3,knn,raw_pca17,occluded,orchid_finger,three_finger_bent,25
3,knn,raw_pca17,occluded,orchid_palm,deer_horn,54
3,knn,raw_pca17,occluded,orchid_palm,flower_pinch,78
3,knn,raw_pca17,occluded,orchid_palm,orchid_finger,39
3,knn,raw_pca17,occluded,orchid_palm,orchid_palm,221
3,knn,raw_pca17,occluded,orchid_palm,prayer_beads,31
3,knn,raw_pca17,occluded,orchid_palm,three_finger_bent,17
3,knn,raw_pca17,occluded,prayer_beads,deer_horn,41
3,knn,raw_pca17,occluded,prayer_beads,flower_pinch,43
3,knn,raw_pca17,occluded,prayer_beads,orchid_finger,18
3,knn,raw_pca17,occluded,prayer_beads,orchid_palm,55
3,knn,raw_pca17,occluded,prayer_beads,prayer_beads,194
3,knn,raw_pca17,occluded,prayer_beads,three_finger_bent,22
3,knn,raw_pca17,occluded,three_finger_bent,deer_horn,39
3,knn,raw_pca17,occluded,three_finger_bent,flower_pinch,54
3,knn,raw_pca17,occluded,three_finger_bent,orchid_finger,27
3,knn,raw_pca17,occluded,three_finger_bent,orchid_palm,30
3,knn,raw_pca17,occluded,three_finger_bent,prayer_beads,15
3,knn,raw_pca17,occluded,three_finger_bent,three_finger_bent,195
3,mlp,corrected,clean,deer_horn,deer_horn,284
3,mlp,corrected,clean,deer_horn,flower_pinch,35
3,mlp,corrected,clean,deer_horn,orchid_finger,51
3,mlp,corrected,clean,deer_horn,orchid_palm,4
3,mlp,corrected,clean,deer_horn,prayer_beads,4
3,mlp,corrected,clean,deer_horn,three_finger_bent,2
3,mlp,corrected,clean,flower_pinch,deer_horn,32
3,mlp,corrected,clean,flower_pinch,flower_pinch,242
3,mlp,corrected,clean,flower_pinch,orchid_finger,17
3,mlp,corrected,clean,flower_pinch,orchid_palm,59
3,mlp,corrected,clean,flower_pinch,prayer_beads,8
3,mlp,corrected,clean,flower_pinch,three_finger_bent,22
3,mlp,corrected,clean,orchid_finger,deer_horn,61
3,mlp,corrected,clean,orchid_finger,flower_pinch,10
3,mlp,corrected,clean,orchid_finger,orchid_finger,269
3,mlp,corrected,clean,orchid_finger,orchid_palm,12
3,mlp,corrected,clean,orchid_finger,prayer_beads,7
3,mlp,corrected,clean,orchid_finger,three_finger_bent,8
3,mlp,corrected,clean,orchid_palm,deer_horn,21
3,mlp,corrected,clean,orchid_palm,flower_pinch,52
3,mlp,corrected,clean,orchid_palm,orchid_finger,60
3,mlp,corrected,clean,orchid_palm,orchid_palm,268
3,mlp,corrected,clean,orchid_palm,prayer_beads,28
3,mlp,corrected,clean,orchid_palm,three_finger_bent,11
3,mlp,corrected,clean,prayer_beads,deer_horn,14
3,mlp,corrected,clean,prayer_beads,flower_pinch,5
3,mlp,corrected,clean,prayer_beads,orchid_finger,24
3,mlp,corrected,clean,prayer_beads,orchid_palm,3
3,mlp,corrected,clean,prayer_beads,prayer_beads,316
3,mlp,corrected,clean,prayer_beads,three_finger_bent,11
3,mlp,corrected,clean,three_finger_bent,deer_horn,8
3,mlp,corrected,clean,three_finger_bent,flower_pinch,31
3,mlp,corrected,clean,three_finger_bent,orchid_finger,14
3,mlp,corrected,clean,three_finger_bent,orchid_palm,1
3,mlp,corrected,clean,three_finger_bent,prayer_beads,0
3,mlp,corrected,clean,three_finger_bent,three_finger_bent,306
3,mlp,corrected,occluded,deer_horn,deer_horn,243
3,mlp,corrected,occluded,deer_horn,flower_pinch,39
3,mlp,corrected,occluded,deer_horn,orchid_finger,64
3,mlp,corrected,occluded,deer_horn,orchid_palm,8
3,mlp,corrected,occluded,deer_horn,prayer_beads,7
3,mlp,corrected,occluded,deer_horn,three_finger_bent,19
3,mlp,corrected,occluded,flower_pinch,deer_horn,64
3,mlp,corrected,occluded,flower_pinch,flower_pinch,179
3,mlp,corrected,occluded,flower_pinch,orchid_finger,45
3,mlp,corrected,occluded,flower_pinch,orchid_palm,51
3,mlp,corrected,occluded,flower_pinch,prayer_beads,11
3,mlp,corrected,occluded,flower_pinch,three_finger_bent,30
3,mlp,corrected,occluded,orchid_finger,deer_horn,81
3,mlp,corrected,occluded,orchid_finger,flower_pinch,12
3,mlp,corrected,occluded,orchid_finger,orchid_finger,239
3,mlp,corrected,occluded,orchid_finger,orchid_palm,22
3,mlp,corrected,occluded,orchid_finger,prayer_beads,3
3,mlp,corrected,occluded,orchid_finger,three_finger_bent,10
