repeat,shot,num_train,num_test,classifier,feature_set,condition,accuracy,macro_f1,kappa
4,3,18,115,svm,optimized_action,occluded,0.5478260869565217,0.5509956663824951,0.461067051189618
4,3,18,115,knn,optimized_action,clean,0.7217391304347827,0.7252429893558926,0.6652719665271967
4,3,18,115,knn,optimized_action,occluded,0.6521739130434783,0.658276372750057,0.5834465272118083
4,3,18,115,rf,optimized_action,clean,0.8347826086956521,0.8347889225202207,0.8018859370749841
4,3,18,115,rf,optimized_action,occluded,0.7652173913043478,0.7655433465026489,0.7186735525958141
4,3,18,115,mlp,optimized_action,clean,0.7304347826086957,0.7168955394066393,0.6770833333333333
4,3,18,115,mlp,optimized_action,occluded,0.5565217391304348,0.5516682105398946,0.47009396458258046
4,3,18,115,svm,optimized_full,clean,0.4782608695652174,0.4860165433694845,0.3739793140990746
4,3,18,115,svm,optimized_full,occluded,0.4260869565217391,0.44007024265644956,0.31343283582089554
4,3,18,115,knn,optimized_full,clean,0.40869565217391307,0.4124084085598864,0.29031672565568556
4,3,18,115,knn,optimized_full,occluded,0.3391304347826087,0.355966168250651,0.21083521444695252
4,3,18,115,rf,optimized_full,clean,0.5478260869565217,0.5362116957534194,0.45784224841341803
4,3,18,115,rf,optimized_full,occluded,0.5130434782608696,0.5214749214749215,0.41740546408539914
4,3,18,115,mlp,optimized_full,clean,0.5391304347826087,0.5346832708553574,0.44691470054446447
4,3,18,115,mlp,optimized_full,occluded,0.4,0.41915287456445993,0.28274428274428265
5,3,18,115,svm,raw,clean,0.3652173913043478,0.36146784015447614,0.2384796806966617
5,3,18,115,svm,raw,occluded,0.3652173913043478,0.364057239057239,0.2386868595266164
5,3,18,115,knn,raw,clean,0.3217391304347826,0.291632179839727,0.1848418756815704
5,3,18,115,knn,raw,occluded,0.3217391304347826,0.29030942851697566,0.184767790602563
5,3,18,115,rf,raw,clean,0.4,0.3909415096915097,0.28020682148040643
5,3,18,115,rf,raw,occluded,0.40869565217391307,0.4010454402853478,0.28986560116236826
5,3,18,115,mlp,raw,clean,0.391304347826087,0.38495010436186905,0.26944368817497055
5,3,18,115,mlp,raw,occluded,0.3826086956521739,0.38096729704465737,0.2590744101633393
5,3,18,115,svm,raw_pca17,clean,0.5565217391304348,0.5542557301770324,0.470141837564369
5,3,18,115,svm,raw_pca17,occluded,0.4782608695652174,0.47310762353865804,0.37748105377120167
5,3,18,115,knn,raw_pca17,clean,0.4782608695652174,0.4819593355083199,0.37192790824685973
5,3,18,115,knn,raw_pca17,occluded,0.4782608695652174,0.46721183992044074,0.3732970027247956
5,3,18,115,rf,raw_pca17,clean,0.6260869565217392,0.6138165509495206,0.5526101510902017
5,3,18,115,rf,raw_pca17,occluded,0.5478260869565217,0.5173549444382778,0.45950831525668834
5,3,18,115,mlp,raw_pca17,clean,0.6695652173913044,0.6732417524024411,0.6037000090686496
5,3,18,115,mlp,raw_pca17,occluded,0.591304347826087,0.5970138193439907,0.5097950299292582
5,3,18,115,svm,corrected,clean,0.7565217391304347,0.7616894942889237,0.7078835162841332
5,3,18,115,svm,corrected,occluded,0.5478260869565217,0.5571992965609988,0.4569560479476934
5,3,18,115,knn,corrected,clean,0.6608695652173913,0.6710324024840154,0.5927909932812784
5,3,18,115,knn,corrected,occluded,0.5565217391304348,0.5528845285247724,0.46884622351023364
5,3,18,115,rf,corrected,clean,0.8608695652173913,0.858579663230826,0.8329550612800727
5,3,18,115,rf,corrected,occluded,0.7478260869565218,0.7442032450716284,0.6977524016675729
5,3,18,115,mlp,corrected,clean,0.6782608695652174,0.6775241835320746,0.6140939597315436
5,3,18,115,mlp,corrected,occluded,0.5304347826086957,0.5184898162610526,0.438314037626628
5,3,18,115,svm,optimized_action,clean,0.6695652173913044,0.6789415624474335,0.6030520483240984
5,3,18,115,svm,optimized_action,occluded,0.5565217391304348,0.5801089224818038,0.4647257460983847
5,3,18,115,knn,optimized_action,clean,0.7043478260869566,0.7034184318150046,0.6454800979236559
5,3,18,115,knn,optimized_action,occluded,0.5826086956521739,0.5784661533348706,0.49986409350366956
5,3,18,115,rf,optimized_action,clean,0.7913043478260869,0.7945195195195196,0.749614442529257
5,3,18,115,rf,optimized_action,occluded,0.6782608695652174,0.6749650062154782,0.6145833333333333
5,3,18,115,mlp,optimized_action,clean,0.6347826086956522,0.6307386796037596,0.5614274039771179
5,3,18,115,mlp,optimized_action,occluded,0.5130434782608696,0.5136480481357141,0.4171945701357467
5,3,18,115,svm,optimized_full,clean,0.34782608695652173,0.3360011545439551,0.2187499999999999
5,3,18,115,svm,optimized_full,occluded,0.2956521739130435,0.2891804710389903,0.15310482771161016
5,3,18,115,knn,optimized_full,clean,0.3652173913043478,0.3563200438200438,0.23868685952661628
