shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
20,rf,optimized_action_minus_raw,0.1408695652173913,0.048850684887610935,0.02196594681819881,20,0,0,8.769942375590214e-05
20,rf,optimized_action_minus_raw_pca17,0.005217391304347829,0.025559892968172303,0.011493129541774668,9,5,6,0.2795593530933158
20,rf,optimized_action_minus_corrected,-0.00043478260869564964,0.01518007847834443,0.00682579573487133,8,2,10,0.9823748120164791
20,mlp,optimized_action_minus_raw,0.15565217391304348,0.05231141301806969,0.02352207996639917,20,0,0,8.769942375590214e-05
20,mlp,optimized_action_minus_raw_pca17,0.009130434782608698,0.03235846015015585,0.014550138169247889,11,2,7,0.2376946288760513
20,mlp,optimized_action_minus_corrected,-0.013913043478260861,0.02083330182732339,0.00936779496621813,3,3,14,0.015302616015355808
40,svm,optimized_action_minus_raw,0.0891304347826087,0.038189162052847885,0.017171941490981578,20,0,0,8.782404130245518e-05
40,svm,optimized_action_minus_raw_pca17,0.007391304347826089,0.02288708206652497,0.010291287187757294,10,5,5,0.22918670928844032
40,svm,optimized_action_minus_corrected,0.0008695652173913049,0.013994327773418339,0.006292617193281346,8,7,5,0.833130351849394
40,knn,optimized_action_minus_raw,0.24695652173913038,0.0511789181549988,0.023012848171771714,20,0,0,8.782404130245518e-05
40,knn,optimized_action_minus_raw_pca17,0.011739130434782596,0.02780909807469108,0.012504495500444012,12,3,5,0.08141291580222647
40,knn,optimized_action_minus_corrected,-0.009130434782608703,0.01854336357577052,0.008338113151801513,5,2,13,0.030447065706206995
40,rf,optimized_action_minus_raw,0.08521739130434783,0.03385725623292486,0.015224079079619413,20,0,0,8.757494073814436e-05
40,rf,optimized_action_minus_raw_pca17,-0.010000000000000009,0.027398204789892466,0.012319735346873875,4,2,14,0.13732444803942337
40,rf,optimized_action_minus_corrected,-0.005217391304347824,0.011470353007193852,0.005157699727683574,4,5,11,0.10199463147479323
40,mlp,optimized_action_minus_raw,0.07652173913043477,0.030447202434802784,0.013690731890136237,20,0,0,8.596886147715013e-05
40,mlp,optimized_action_minus_raw_pca17,0.008695652173913049,0.02428563485872861,0.010920153217510333,11,4,5,0.1256301388479374
40,mlp,optimized_action_minus_corrected,-0.0017391304347826153,0.013072431633367755,0.005878082133417947,6,4,10,0.5474899341491625
