shot,classifier,metric,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
1,mlp,macro_f1,optimized_action_minus_joint_angle,-0.025153277340484503,0.021831798606921138,0.04279032526956543,0,0,2,0.5
1,mlp,accuracy,optimized_action_minus_corrected,0.013043478260869545,0.039130434782608636,0.07669565217391291,1,0,1,1.0
1,mlp,macro_f1,optimized_action_minus_corrected,0.008157825524027856,0.03385585264711724,0.06635747118834978,1,0,1,1.0
3,svm,accuracy,joint_angle_minus_raw,0.31304347826086953,0.060869565217391314,0.11930434782608697,2,0,0,0.5
3,svm,macro_f1,joint_angle_minus_raw,0.3258961665047653,0.07436567406382336,0.14575672116509378,2,0,0,0.5
3,svm,accuracy,joint_angle_minus_raw_pca11,0.15652173913043477,0.017391304347826098,0.03408695652173915,2,0,0,0.5
3,svm,macro_f1,joint_angle_minus_raw_pca11,0.15494536285966443,0.025636724153450974,0.0502479793407639,2,0,0,0.5
3,svm,accuracy,corrected_minus_joint_angle,0.06521739130434784,0.013043478260869545,0.02556521739130431,2,0,0,0.5
3,svm,macro_f1,corrected_minus_joint_angle,0.0627456505889406,0.02123601857269214,0.04162259640247659,2,0,0,0.5
3,svm,accuracy,optimized_action_minus_joint_angle,0.034782608695652195,0.02608695652173909,0.05113043478260862,2,0,0,0.5
3,svm,macro_f1,optimized_action_minus_joint_angle,0.03353148722934568,0.01772928573328786,0.0347494000372442,2,0,0,0.5
3,svm,accuracy,optimized_action_minus_corrected,-0.030434782608695643,0.039130434782608636,0.07669565217391291,1,0,1,1.0
3,svm,macro_f1,optimized_action_minus_corrected,-0.029214163359594925,0.03896530430598,0.07637199643972079,1,0,1,1.0
3,knn,accuracy,joint_angle_minus_raw,0.3652173913043478,0.008695652173913049,0.017043478260869573,2,0,0,0.5
3,knn,macro_f1,joint_angle_minus_raw,0.3648686261376295,0.012312119905493885,0.024131755014768014,2,0,0,0.5
3,knn,accuracy,joint_angle_minus_raw_pca11,0.18260869565217386,0.017391304347826098,0.03408695652173915,2,0,0,0.5
