classifier,feature_set,encoding,num_features,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
rf,raw_pca17,resample16,272,20,0.7839130434782609,0.04410633310577754,0.7836593797532337,0.046966615765112796
svm,corrected,global4,68,20,0.7499999999999999,0.05128776445321727,0.7516110013972871,0.05565348767005467
svm,corrected,global5,85,20,0.7291304347826087,0.06019973057611364,0.7304174268697597,0.06430961898320561
svm,corrected,pyramid,255,20,0.7573913043478262,0.05231141301806967,0.7594332832712928,0.05502454287145873
svm,corrected,resample16,272,20,0.7752173913043479,0.05446248774053999,0.7804760828930355,0.05582723097565197
svm,joint_angle,global4,44,20,0.723913043478261,0.05760664475430567,0.728114079235264,0.05553203513846094
svm,joint_angle,global5,55,20,0.7343478260869565,0.04991296773210432,0.7376118337612821,0.04915701614009957
svm,joint_angle,pyramid,165,20,0.7613043478260868,0.058492401716813906,0.7641058029384231,0.05777905043235384
svm,joint_angle,resample16,176,20,0.7978260869565219,0.05966985414247084,0.8013031294860911,0.058903760757316764
svm,optimized_action,global4,68,20,0.7252173913043478,0.05651504977138059,0.72678995640035,0.060297003922606326
svm,optimized_action,global5,85,20,0.7165217391304348,0.06126579114368186,0.7202375713562055,0.06283186064730832
svm,optimized_action,pyramid,255,20,0.7352173913043477,0.049988656558253845,0.736897504271599,0.05451515024677447
svm,optimized_action,resample16,272,20,0.7756521739130434,0.053079104215762965,0.7805460413832013,0.05259502029060627
svm,optimized_full,global4,252,20,0.44695652173913053,0.05803329987291681,0.44860954008350645,0.056834129048208656
svm,optimized_full,global5,315,20,0.4356521739130435,0.05492046147700219,0.43879388006398334,0.0548212111935686
svm,optimized_full,pyramid,945,20,0.4043478260869565,0.054754996491934486,0.3991344462526746,0.053882077302828145
svm,optimized_full,resample16,1008,20,0.39,0.060136894871315946,0.382689921112661,0.060004377482319425
svm,raw,global4,252,20,0.3847826086956522,0.03377620105982949,0.37305065609263405,0.03601893041615421
svm,raw,global5,315,20,0.3956521739130435,0.0353753836640139,0.3850822926386427,0.03698357850438716
svm,raw,pyramid,945,20,0.3860869565217391,0.043772914604011205,0.37678080755842497,0.0446471812462178
svm,raw,resample16,1008,20,0.42869565217391303,0.050860274142225256,0.4212725994619033,0.05500103945291562
svm,raw_pca11,global4,44,20,0.5804347826086957,0.04894926195303348,0.5872098952190299,0.04982909989548698
svm,raw_pca11,global5,55,20,0.5782608695652173,0.056988043053255465,0.5823638695295903,0.05667952973152714
svm,raw_pca11,pyramid,165,20,0.58,0.06390564878842828,0.584693595151703,0.06560524260172872
svm,raw_pca11,resample16,176,20,0.6652173913043479,0.054129998252124924,0.6756352638812775,0.05509851406804259
svm,raw_pca17,global4,68,20,0.6169565217391304,0.06188439737883371,0.6231930271169781,0.06707078988819568
svm,raw_pca17,global5,85,20,0.6104347826086955,0.050374776897253004,0.6154346389483969,0.05597243339289979
svm,raw_pca17,pyramid,255,20,0.6204347826086957,0.0684295893283905,0.6263508524699352,0.07041165327039757
