repeat,classifier,feature_set,accuracy,macro_f1,kappa
17,rf,no_temporal,0.8333333333333334,0.8333333333333334,0.8
18,rf,no_temporal,0.8333333333333334,0.8373015873015874,0.7966101694915255
19,rf,no_temporal,0.75,0.6888888888888888,0.6896551724137931
0,svm,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
1,svm,l2,1.0,1.0,1.0
2,svm,l2,0.9166666666666666,0.8095238095238094,0.8947368421052632
3,svm,l2,0.8333333333333334,0.7428571428571429,0.7913043478260869
4,svm,l2,1.0,1.0,1.0
5,svm,l2,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,l2,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,l2,1.0,1.0,1.0
8,svm,l2,1.0,1.0,1.0
9,svm,l2,1.0,1.0,1.0
10,svm,l2,0.8333333333333334,0.7444444444444445,0.7966101694915254
11,svm,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
12,svm,l2,1.0,1.0,1.0
13,svm,l2,0.9166666666666666,0.8095238095238096,0.8947368421052632
14,svm,l2,0.9166666666666666,0.8095238095238096,0.8947368421052632
15,svm,l2,1.0,1.0,1.0
16,svm,l2,0.9166666666666666,0.9333333333333332,0.8974358974358975
17,svm,l2,1.0,1.0,1.0
18,svm,l2,1.0,1.0,1.0
19,svm,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
0,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
1,rf,l2,0.8333333333333334,0.8444444444444446,0.7983193277310925
2,rf,l2,1.0,1.0,1.0
3,rf,l2,1.0,1.0,1.0
4,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,l2,1.0,1.0,1.0
6,rf,l2,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,rf,l2,0.9166666666666666,0.9333333333333332,0.8974358974358975
8,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
10,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
12,rf,l2,0.8333333333333334,0.8539682539682539,0.793103448275862
13,rf,l2,1.0,1.0,1.0
14,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
15,rf,l2,0.9166666666666666,0.9111111111111111,0.8983050847457628
16,rf,l2,1.0,1.0,1.0
17,rf,l2,0.9166666666666666,0.9333333333333332,0.8974358974358974
18,rf,l2,0.8333333333333334,0.8277777777777778,0.7983193277310925
19,rf,l2,0.9166666666666666,0.8095238095238096,0.8947368421052632
