sequence_id,frame_index,joint_index,joint_name,affected,automatic_confidence,oracle_confidence
0078bb88405b,18,1,thumb_mcp,1,0.12205644726180759,0.0
0078bb88405b,18,2,thumb_ip,1,0.6042729980511937,0.0
0078bb88405b,18,3,index_mcp,1,0.3746572575688786,0.0
0078bb88405b,18,4,index_pip,1,0.47712476043431756,0.0
0078bb88405b,18,5,middle_mcp,1,0.5551026518099212,0.0
0078bb88405b,18,6,middle_pip,1,0.22448729257619385,0.0
0078bb88405b,18,7,ring_mcp,1,0.5296972388350976,0.0
0078bb88405b,18,8,ring_pip,1,0.6650027580081032,0.0
0078bb88405b,18,9,little_mcp,1,0.285729784192604,0.0
0078bb88405b,18,10,little_pip,1,0.44812326647210277,0.0
0078bb88405b,19,0,thumb_cmc,1,0.023801697817591286,0.0
0078bb88405b,19,1,thumb_mcp,1,0.5064555869955364,0.0
0078bb88405b,19,2,thumb_ip,1,0.062115719129870205,0.0
0078bb88405b,19,3,index_mcp,1,0.6183642883380729,0.0
0078bb88405b,19,4,index_pip,1,0.35831223219788577,0.0
0078bb88405b,19,5,middle_mcp,1,0.634012703154516,0.0
0078bb88405b,19,6,middle_pip,1,0.532410802063709,0.0
0078bb88405b,19,7,ring_mcp,1,0.2543181427085539,0.0
0078bb88405b,19,8,ring_pip,1,0.785095421884183,0.0
0078bb88405b,19,9,little_mcp,1,0.5314480852967386,0.0
0078bb88405b,19,10,little_pip,1,0.5936451012957795,0.0
0078bb88405b,20,0,thumb_cmc,1,0.44420021797734494,0.0
0078bb88405b,20,1,thumb_mcp,1,0.12815533128542456,0.0
0078bb88405b,20,2,thumb_ip,1,0.31262831701740545,0.0
0078bb88405b,20,3,index_mcp,1,0.16575167145162706,0.0
0078bb88405b,20,4,index_pip,1,0.06315204648748803,0.0
0078bb88405b,20,5,middle_mcp,1,0.1519059574529496,0.0
0078bb88405b,20,6,middle_pip,1,0.39351532476083534,0.0
0078bb88405b,20,7,ring_mcp,1,0.26967139665307677,0.0
0078bb88405b,20,8,ring_pip,1,0.5156038288490199,0.0
0078bb88405b,20,9,little_mcp,1,0.24821313913205645,0.0
0078bb88405b,20,10,little_pip,1,0.3870885280810946,0.0
0078bb88405b,21,0,thumb_cmc,1,0.2584225298952275,0.0
0078bb88405b,21,1,thumb_mcp,1,0.20873921336840692,0.0
0078bb88405b,21,2,thumb_ip,1,0.42626716281063537,0.0
0078bb88405b,21,3,index_mcp,1,0.5156298699820616,0.0
0078bb88405b,21,4,index_pip,1,0.425443261302697,0.0
0078bb88405b,21,5,middle_mcp,1,0.42614393846922227,0.0
0078bb88405b,21,6,middle_pip,1,0.45710650855319773,0.0
0078bb88405b,21,7,ring_mcp,1,0.2957919662812424,0.0
0078bb88405b,21,8,ring_pip,1,0.5471000700515546,0.0
0078bb88405b,21,9,little_mcp,1,0.18820597921430313,0.0
0078bb88405b,21,10,little_pip,1,0.2759726086401433,0.0
0078bb88405b,22,0,thumb_cmc,1,0.053861918825272824,0.0
0078bb88405b,22,1,thumb_mcp,1,0.21356630168545657,0.0
0078bb88405b,22,2,thumb_ip,1,0.3510357026662288,0.0
