classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
rf,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.020250259695818108,0.030919501548601503,0.013903103471821394,15,0,5,0.012079238891601562
rf,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.021356292970412548,0.03428662866435861,0.015417148470883284,15,0,5,0.021484375
rf,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.0017391304347825986,0.04265303815106338,0.019179144976501136,10,0,10,0.9854354858398438
rf,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.0038879289140626217,0.04501908104122705,0.02024304760989274,10,0,10,0.7561664581298828
rf,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.002026985299877776,0.051147936832592535,0.02299891727025213,10,0,10,0.9854354858398438
rf,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.00478260869565218,0.03621767837456042,0.01628545431623999,8,3,9,0.7400866115816302
rf,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.005479386858861379,0.04045334732949008,0.018190043355626764,10,0,10,0.8983173370361328
rf,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.005698339281808124,0.04322718872628547,0.019437314560612026,8,2,10,0.7439495148870137
rf,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.014347826086956506,0.04461767855991181,0.020062555042029074,7,0,13,0.21616744995117188
rf,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.01635408971480266,0.050022773461210125,0.02249298211633499,8,0,12,0.20244979858398438
rf,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.017205875120217606,0.053459778806726165,0.024038448199505853,7,0,13,0.15364646911621094
rf,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.018260869565217393,0.04040438314952676,0.01816802637519864,8,1,11,0.15827229482146787
rf,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.016987949333501985,0.04384238888418336,0.01971394228818683,10,0,10,0.3117942810058594
rf,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.022057315130546713,0.04866391824266857,0.0218819662926513,8,0,12,0.15364646911621094
mlp,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.009130434782608693,0.04488801440729041,0.020184112863792122,9,0,11,0.49800872802734375
mlp,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.0061234907380016915,0.04910828601037255,0.02208177840942232,9,0,11,0.6215133666992188
mlp,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.011081401152147407,0.05387078130571151,0.024223257461763476,9,0,11,0.5216732025146484
mlp,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.008260869565217387,0.04210662494066868,0.018933447632688966,8,2,10,0.43238484889364515
mlp,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.005588620348229612,0.045802003328834426,0.020595092404595863,9,0,11,0.5705966949462891
mlp,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.010019613126511156,0.050467755095736706,0.022693070261292907,9,0,11,0.49800872802734375
mlp,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.002608695652173909,0.03811236000141066,0.01713740707695483,8,1,11,0.6576191766011901
mlp,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.0046144216001025255,0.04194400873443312,0.018860326468755125,8,0,12,0.5958194732666016
mlp,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.003028252312960461,0.045707742753925924,0.020552707681019185,9,0,11,0.7561664581298828
mlp,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.03434782608695652,0.05125826965416906,0.02304852895730683,5,0,15,0.0072956085205078125
mlp,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.037884474948824215,0.05452931335814076,0.02451936958537075,5,0,15,0.00485992431640625
mlp,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.041102683735081344,0.06177100181280121,0.027775629837095032,5,0,15,0.009435653686523438
mlp,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.02000000000000001,0.05203604974044236,0.02339826153630013,6,3,11,0.07160429689988466
mlp,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.017042440635901775,0.061060605277204326,0.02745619659769103,7,0,13,0.14290618896484375
mlp,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.024355294444853633,0.062094531786570865,0.027921106655163553,6,0,14,0.058258056640625
mlp,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.026956521739130435,0.048407532729449684,0.021766681306140272,4,3,13,0.04402582347264156
mlp,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.02294351915856242,0.05354377367452219,0.024076216898209955,6,0,14,0.09730720520019531
mlp,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.03273212515739875,0.05813678347211045,0.0261414859764512,5,0,15,0.023950576782226562
