classifier,representation,true_label,predicted_label,count,row_normalized
rf,compact_optimized_action7,orchid_finger,prayer_beads,0,0.0
rf,compact_optimized_action7,orchid_finger,three_finger_bent,0,0.0
rf,compact_optimized_action7,orchid_palm,deer_horn,1,0.0022727272727272726
rf,compact_optimized_action7,orchid_palm,flower_pinch,36,0.08181818181818182
rf,compact_optimized_action7,orchid_palm,orchid_finger,28,0.06363636363636363
rf,compact_optimized_action7,orchid_palm,orchid_palm,317,0.7204545454545455
rf,compact_optimized_action7,orchid_palm,prayer_beads,58,0.1318181818181818
rf,compact_optimized_action7,orchid_palm,three_finger_bent,0,0.0
rf,compact_optimized_action7,prayer_beads,deer_horn,0,0.0
rf,compact_optimized_action7,prayer_beads,flower_pinch,0,0.0
rf,compact_optimized_action7,prayer_beads,orchid_finger,0,0.0
rf,compact_optimized_action7,prayer_beads,orchid_palm,26,0.06842105263157895
rf,compact_optimized_action7,prayer_beads,prayer_beads,354,0.9315789473684211
rf,compact_optimized_action7,prayer_beads,three_finger_bent,0,0.0
rf,compact_optimized_action7,three_finger_bent,deer_horn,0,0.0
rf,compact_optimized_action7,three_finger_bent,flower_pinch,39,0.10833333333333334
rf,compact_optimized_action7,three_finger_bent,orchid_finger,0,0.0
rf,compact_optimized_action7,three_finger_bent,orchid_palm,4,0.011111111111111112
rf,compact_optimized_action7,three_finger_bent,prayer_beads,0,0.0
rf,compact_optimized_action7,three_finger_bent,three_finger_bent,317,0.8805555555555555
mlp,compact_optimized_action7,deer_horn,deer_horn,330,0.868421052631579
mlp,compact_optimized_action7,deer_horn,flower_pinch,7,0.018421052631578946
mlp,compact_optimized_action7,deer_horn,orchid_finger,35,0.09210526315789473
mlp,compact_optimized_action7,deer_horn,orchid_palm,8,0.021052631578947368
mlp,compact_optimized_action7,deer_horn,prayer_beads,0,0.0
mlp,compact_optimized_action7,deer_horn,three_finger_bent,0,0.0
mlp,compact_optimized_action7,flower_pinch,deer_horn,17,0.04473684210526316
mlp,compact_optimized_action7,flower_pinch,flower_pinch,203,0.5342105263157895
mlp,compact_optimized_action7,flower_pinch,orchid_finger,12,0.031578947368421054
mlp,compact_optimized_action7,flower_pinch,orchid_palm,93,0.24473684210526317
mlp,compact_optimized_action7,flower_pinch,prayer_beads,9,0.02368421052631579
mlp,compact_optimized_action7,flower_pinch,three_finger_bent,46,0.12105263157894737
mlp,compact_optimized_action7,orchid_finger,deer_horn,29,0.08055555555555556
mlp,compact_optimized_action7,orchid_finger,flower_pinch,0,0.0
mlp,compact_optimized_action7,orchid_finger,orchid_finger,325,0.9027777777777778
mlp,compact_optimized_action7,orchid_finger,orchid_palm,5,0.013888888888888888
mlp,compact_optimized_action7,orchid_finger,prayer_beads,0,0.0
mlp,compact_optimized_action7,orchid_finger,three_finger_bent,1,0.002777777777777778
mlp,compact_optimized_action7,orchid_palm,deer_horn,0,0.0
mlp,compact_optimized_action7,orchid_palm,flower_pinch,39,0.08863636363636364
mlp,compact_optimized_action7,orchid_palm,orchid_finger,27,0.06136363636363636
mlp,compact_optimized_action7,orchid_palm,orchid_palm,366,0.8318181818181818
mlp,compact_optimized_action7,orchid_palm,prayer_beads,8,0.01818181818181818
mlp,compact_optimized_action7,orchid_palm,three_finger_bent,0,0.0
mlp,compact_optimized_action7,prayer_beads,deer_horn,0,0.0
mlp,compact_optimized_action7,prayer_beads,flower_pinch,8,0.021052631578947368
mlp,compact_optimized_action7,prayer_beads,orchid_finger,0,0.0
mlp,compact_optimized_action7,prayer_beads,orchid_palm,47,0.12368421052631579
mlp,compact_optimized_action7,prayer_beads,prayer_beads,325,0.8552631578947368
mlp,compact_optimized_action7,prayer_beads,three_finger_bent,0,0.0
mlp,compact_optimized_action7,three_finger_bent,deer_horn,0,0.0
mlp,compact_optimized_action7,three_finger_bent,flower_pinch,27,0.075
mlp,compact_optimized_action7,three_finger_bent,orchid_finger,0,0.0
mlp,compact_optimized_action7,three_finger_bent,orchid_palm,5,0.013888888888888888
mlp,compact_optimized_action7,three_finger_bent,prayer_beads,4,0.011111111111111112
mlp,compact_optimized_action7,three_finger_bent,three_finger_bent,324,0.9
