repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
4,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,45.2158679660056,0.4322950794475166,0.24095126477186168,0.5292089664892489,0.6186706114936977,0.6269964812898382,0.8485250473931517,0.27540472536879507,0.006004075652944724,8
4,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,952.8230644311332,1.0,0.058420885945756736,0.0,0.3572712869910596,0.0,0.944297400160838,0.0,0.8583553899758743,1
4,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,13.108806267209632,0.2097773888288855,0.40333261341894033,1.0,0.5487304132350135,0.4592368350384719,0.35836135759275617,1.0,-0.33582418181772233,16
4,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,26.775899130150172,0.3368095449060639,0.31609739965021705,0.747079595095804,0.5908968322745072,0.5603778629147262,0.8485250473931517,0.3580739239957187,-0.1430257721591629,12
4,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,488.78805644977376,0.8750052730778768,0.09501720844899907,0.10610344499256738,0.3924593941620049,0.08440274060161079,0.944297400160838,0.05938186375610403,0.6810469741218715,3
4,10,right_i-abd_actuator,index abduction,index,abduction,no,no,28.189618617673556,0.34611973130193735,0.22701140863797545,0.4887932455278036,0.7499371655535756,0.9418544774349473,0.35836135759275617,0.4264760487262342,-0.0821750865148516,11
4,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,80.43400896013829,0.5385293772041986,0.2508400533776581,0.5578794575689273,0.4966593245783882,0.33433831272302583,0.7604787113841011,0.20664922021510654,0.1871226605274804,6
4,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,527.693208448599,0.88933980250668,0.08218628223693739,0.06890283628592588,0.4059108089143872,0.11666751303038875,0.7604787113841011,0.04851307286597765,0.727431823191609,2
4,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,22.04862550431739,0.30182207658720855,0.31132291144443264,0.733236957036605,0.6444978174203717,0.6889460187202964,0.69979970040778,0.43211332604058295,-0.1890633203832564,14
4,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,16.83312212636634,0.2537096040860929,0.3312636670499974,0.7910510410970406,0.6234506422318344,0.6384619372888982,0.69979970040778,0.5420989555778337,-0.25803034204378894,15
4,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,138.12209536546047,0.6389667350243893,0.18672446077192298,0.3719895979360159,0.49539881385217627,0.3313148321097276,0.5903472139572851,0.1833084987734509,0.3636580122088294,5
4,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,90.08369397078765,0.5595309105102092,0.2050113210722948,0.42500855566859574,0.6706844683432612,0.7517577265036166,0.5881517651701333,0.21159257255827865,0.18296557563307514,7
5,0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.5365646988639217,0.0,0.2605535070777016,0.6117459174467461,0.47086981441286296,0.29608951024167385,0.41261273759318023,0.706501957550945,-0.3800215856816401,17
5,1,right_p-abd_actuator,little abduction,little,abduction,no,no,38.69744547025608,0.43118369041108223,0.23127004402194404,0.5239123747734875,0.6430092132610312,0.6875675207384236,0.6538855997643581,0.3130951670225438,0.01764497755199034,9
5,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,15.169764453771743,0.2710331741118279,0.2683881459665977,0.6352453269212047,0.6175150974223094,0.6295890113750937,0.5613486790734649,0.28668574851520906,-0.14090112403179308,13
5,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,128.18932935437908,0.6415913861465498,0.23561931261907995,0.5369576784725967,0.46279634417336935,0.2777288903701626,0.5591565750254215,0.13806560841629456,0.34722286093811067,5
5,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,47.25178239272978,0.4659807056154454,0.2293142395765412,0.5180460865927232,0.7803909760131362,1.0,0.6538855997643582,0.20696910922700293,0.00734097761856042,10
5,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,50.853657554437724,0.4788179258835779,0.22714474013368358,0.5115388363562666,0.5869611735917432,0.5601035281324724,0.8499218946240001,0.20367057392611837,0.08087364088549903,8
5,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,963.1804371804142,1.0,0.05659909025880292,0.0,0.34067432722936647,0.0,0.9460453756475443,0.0,0.8580931936528684,1
5,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,12.363390261993038,0.2370424393385449,0.38999635700337976,1.0,0.5471300666883051,0.46951995115486983,0.33062233798773705,1.0,-0.30645490159058963,16
5,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,29.268310732603812,0.3828278424195986,0.30532567273415995,0.7460366574208063,0.5660171636951494,0.5124728324230341,0.849921894624,0.27500458220361884,-0.07491485994435261,12
5,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,489.6147863471764,0.8795284576302476,0.09283883017953015,0.10869837138914314,0.3854442450345873,0.10181538026602306,0.9460453756475442,0.04586188875019165,0.6832046990700968,3
5,10,right_i-abd_actuator,index abduction,index,abduction,no,no,31.46621916248001,0.3953273593359255,0.2288445947752412,0.5166374223709502,0.744058948013361,0.9173739995966325,0.33997110399953717,0.34130590451815784,-0.0194983474537928,11
5,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,86.19528236648924,0.5714914977804969,0.2508095899657305,0.5825197716924195,0.48915741753225944,0.3376790274227469,0.7712426128042142,0.14995399101436066,0.2201462588000564,6
5,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,570.8596117609954,0.9068520856877731,0.08034585445241323,0.07122663129630045,0.3993166291093263,0.13336384247028393,0.7712426128042141,0.03187413479762331,0.7419051472293656,2
5,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,20.651436627533993,0.32308779600698495,0.3001916460478011,0.7306375309177923,0.6426114174557287,0.686662856777205,0.6757533666072317,0.362427135719857,-0.15263123342696744,14
5,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,17.327283042936035,0.29336644463968603,0.317682940896777,0.783101352891403,0.6271030260662117,0.6513938001417278,0.6757533666072317,0.45732944232135303,-0.202650074950798,15
