repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
3,45,5,3;6;9;12;15,rf,18,92,0.8152173913043478,0.8120368039912632,0.778344671201814,0.8129909801851886
3,45,5,3;6;9;12;15,mlp,18,92,0.6521739130434783,0.5955690068593295,0.5833569204641947,0.6125504787145741
3,45,7,3;6;9;11;12;15;16,svm,18,92,0.6847826086956522,0.6658277357765848,0.6222033418295101,0.671514197652305
3,45,7,3;6;9;11;12;15;16,knn,18,92,0.6086956521739131,0.5716832187420422,0.5272623465600914,0.5827869487716034
3,45,7,3;6;9;11;12;15;16,rf,18,92,0.8369565217391305,0.8358616399413363,0.8044217687074829,0.8361901044806745
3,45,7,3;6;9;11;12;15;16,mlp,18,92,0.6956521739130435,0.6519781337552718,0.6358495900480633,0.6650803458026032
3,45,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.6956521739130435,0.676263470728471,0.6346099290780143,0.6820800816838427
3,45,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.6195652173913043,0.5965795206971678,0.5410490307867732,0.6034752297054087
3,45,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.8586956521739131,0.8590246354952238,0.8301136363636363,0.8589259404988305
3,45,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.7065217391304348,0.6792216911986618,0.6481586402266288,0.6874117055781936
3,45,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.6956521739130435,0.676263470728471,0.6346099290780143,0.6820800816838427
3,45,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.5869565217391305,0.5420495683653578,0.5018523795953262,0.5555216543774896
3,45,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8152173913043478,0.809777637734627,0.7784074808727685,0.8114095638055432
3,45,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.7282608695652174,0.7109983380816715,0.6735736588135113,0.7161770975267352
3,45,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.6739130434782609,0.6511705348022484,0.6085106382978724,0.657993287405052
3,45,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.6847826086956522,0.658499446290144,0.6205915813424345,0.6663843950117965
3,45,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.8478260869565217,0.8461827687240183,0.8174603174603174,0.8466757641937693
3,45,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.6521739130434783,0.6186061381074169,0.5824113475177306,0.6286764705882353
4,46,5,3;6;9;12;15,svm,18,92,0.8478260869565217,0.8465582549634275,0.8175637393767705,0.8469386045613557
4,46,5,3;6;9;12;15,knn,18,92,0.782608695652174,0.767179311916154,0.7397454031117398,0.7718081270369599
4,46,5,3;6;9;12;15,rf,18,92,0.8152173913043478,0.8151017665130569,0.7784074808727685,0.8151364539504441
4,46,5,3;6;9;12;15,mlp,18,92,0.7282608695652174,0.712764755024817,0.6743132257150948,0.717413589386937
4,46,7,3;6;9;11;12;15;16,svm,18,92,0.7608695652173914,0.7599384447561165,0.7131519274376417,0.7602177808944989
4,46,7,3;6;9;11;12;15;16,knn,18,92,0.7608695652173914,0.7452168522495848,0.7129078014184398,0.7499126661399267
4,46,7,3;6;9;11;12;15;16,rf,18,92,0.8913043478260869,0.8920840275470421,0.869540555870675,0.8918501236307554
4,46,7,3;6;9;11;12;15;16,mlp,18,92,0.7608695652173914,0.7477388965901949,0.7127448197558899,0.7516780971783538
4,46,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.8152173913043478,0.81086860670194,0.7785956964892412,0.8121732420826623
4,46,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.7717391304347826,0.762862495927012,0.7261904761904763,0.7655254862793432
4,46,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.8260869565217391,0.8224283595529425,0.7913832199546486,0.8235259386435815
4,46,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.8152173913043478,0.8138821119845788,0.7784074808727685,0.8142826957805095
4,46,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.8586956521739131,0.8582957033388068,0.8305949008498583,0.8584156879893386
