repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
9,51,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8913043478260869,0.8890123357035122,0.869725290286038,0.8896999393402845
9,51,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.8478260869565217,0.8392812982037121,0.8175637393767705,0.8418447348295549
9,51,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.9130434782608695,0.9136486852805638,0.8957211674695381,0.9134671231746554
9,51,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.8152173913043478,0.809773302033364,0.7785329934862645,0.811406528814659
9,51,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.8695652173913043,0.8694416863099659,0.8437146092865233,0.8694787456343673
9,51,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.8043478260869565,0.7949390636772041,0.7657708628005658,0.7977616924001298
10,52,5,3;6;9;12;15,svm,18,92,0.8913043478260869,0.8939577190411451,0.8696883852691218,0.8931617076766276
10,52,5,3;6;9;12;15,knn,18,92,0.8369565217391305,0.8348949296317718,0.8046985564675913,0.8355134072639794
10,52,5,3;6;9;12;15,rf,18,92,0.8260869565217391,0.8230609406360241,0.7915014164305949,0.8239687454017386
10,52,5,3;6;9;12;15,mlp,18,92,0.8478260869565217,0.8379552211073951,0.8178733031674208,0.840916480862133
